Year,Area Name,Carcass Size,Harvest Date,Location
2020,LAKE JESUP,9 ft. 9 in.,08/23/2020,
2020,STA- 5/6,9 ft. 9 in.,10/24/2020,
2020,EVERGLADES &amp; FRANCIS S. TAYLOR WMA (WCA 3),9 ft. 9 in.,10/27/2020,
2020,LAKE COUNTY,9 ft. 9 in.,08/16/2020,
2020,STA - 3/4 EAST,9 ft. 9 in.,08/29/2020,
2020,ST. JOHNS COUNTY,9 ft. 9 in.,08/16/2020,
2020,KISSIMMEE RIVER,9 ft. 9 in.,10/17/2020,
2020,LAKE HATCHINEHA,9 ft. 9 in.,10/10/2020,
2020,ST. JOHNS RIVER (PUZZLE LAKE),9 ft. 9 in.,08/21/2020,
2020,PUTNAM COUNTY,9 ft. 9 in.,10/31/2020,OCKLAWAHA RIVER
2020,ST. JOHNS COUNTY,9 ft. 9 in.,08/30/2020,MOSES CREEK
2020,TENOROC FMA,9 ft. 9 in.,09/05/2020,
2020,LAKE ISTOKPOGA,9 ft. 9 in.,10/10/2020,
2020,MANATEE COUNTY,9 ft. 9 in.,08/28/2020,
2020,ST. JOHNS RIVER (LAKE HELL N' BLAZES),9 ft. 9 in.,09/09/2020,
2020,HAMILTON COUNTY,9 ft. 9 in.,10/31/2020,SWIFT CREEK SWAMP
2020,BLUE CYPRESS WATER MANAGEMENT AREA,9 ft. 9 in.,09/18/2020,
2020,PALM BEACH COUNTY,9 ft. 9 in.,10/18/2020,
2020,LAKE OKEECHOBEE WEST,9 ft. 9 in.,09/29/2020,
2020,ORANGE LAKE,9 ft. 9 in.,10/12/2020,
2020,POLK COUNTY,9 ft. 9 in.,10/11/2020,
2020,NEWNANS LAKE,9 ft. 9 in.,08/19/2020,
2020,STA - 3/4 EAST,9 ft. 9 in.,08/14/2020,
2020,ST. JOHNS RIVER (PUZZLE LAKE),9 ft. 9 in.,11/01/2020,
2020,LAKE HANCOCK,9 ft. 9 in.,09/25/2020,
2020,FLAGLER COUNTY,9 ft. 9 in.,10/17/2020,
2020,KISSIMMEE RIVER,9 ft. 9 in.,10/30/2020,
2020,PUTNAM COUNTY,9 ft. 9 in.,10/18/2020,OCKLAWAHA RIVER
2020,LAKE IAMONIA,9 ft. 9 in.,09/16/2020,
2020,NEWNANS LAKE,9 ft. 9 in.,09/26/2020,
2020,SUMTER COUNTY,9 ft. 9 in.,08/15/2020,WITHLACOOCHEE RIVER
2020,LAKE OKEECHOBEE WEST,9 ft. 9 in.,10/07/2020,
2020,LAKE HANCOCK,9 ft. 9 in.,08/22/2020,
